id,character_id,sprite,cat_speaking,en,effets,room_id,time,start_condition,variant,item_given,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,next_line_1,next_line_2,next_line_3,next_line_4,next_line_5,next_line_6,fr
emo-witch_[neutral]___goodbye__%°@turn#,emo-witch,neutral,FALSE,Don't care. Go away.,turn,,,,goodbye,,,,,,,,,,,,,,
housekeeper_[neutral]___goodbye__%°@#,housekeeper,neutral,FALSE,"Take all the time you need, sweetie. I'll be right here.",,,,,goodbye,,,,,,,,,,,,,,
kitchen-witch_[neutral]___goodbye__%°@#,kitchen-witch,neutral,FALSE,Will you be back in time for dinner?,,,,,goodbye,,,,,,,,,,,,,,
monster-witch_[neutral]___goodbye__%°@#,monster-witch,neutral,FALSE,See you later honey! Don't be a stranger!,,,,,goodbye,,,,,,,,,,,,,,
time-witch_[neutral]___goodbye__%°@wiggle#,time-witch,neutral,FALSE,I'll see you next time!,wiggle,,,,goodbye,,,,,,,,,,,,,,
wolf-witch_[neutral]___goodbye__%°c@#,wolf-witch,neutral,TRUE,They don't seem to mind.,,,,,goodbye,,,,,,,,,,,,,,
edgy-witch_[happy]___goodbye__%°@turn#,edgy-witch,happy,FALSE,You'll be back soon. No one can resist my call for long.,turn,,,,goodbye,,,,,,,,,,,,,,
[clues],,,FALSE,,,,,,,,,,,,,,,,,,,,
[transport],,,FALSE,,,,,,,,,,,,,,,,,,,,
[mansion-shift],,,FALSE,,,,,,,,,,,,,,,,,,,,
[motives],,,FALSE,,,,,,,,,,,,,,,,,,,,
[select],,,FALSE,,,,,,,,,,,,,,,,,,,,
[retry],,,FALSE,,,,,,,,,,,,,,,,,,,,
[scene-end],,,FALSE,,,,,,,,,,,,,,,,,,,,
cat_[neutral]____nap_%°c@#,cat,,TRUE,Time for a little nap,,,,nap,,,,,,,,,,,,,,,
cat_[neutral]____click-shed_%°c@#,cat,,TRUE,You knock on the door.,,,,click-shed,,,,,,,,,cat_[neutral]___click-shed-2__%°c@#,,,,,,
cat_[neutral]___click-shed-2__%°c@#,cat,,TRUE,"No response. Well, you hear some cackling from a distance, but it doesn't seem targeted at you",,,,,click-shed-2,,,,,,,,,,,,,,
edgy-witch_[neutral]_kitchen_night__default_%°@flipped#,edgy-witch,neutral,FALSE,"There's a witch in the kitchen. She appears to be raiding the cupboards. Quite voraciously, too. Anything you say is bound to startle her.",flipped,kitchen,night,default,,,Come here often ?,Those cookies go well with killer mushrooms ?,Um....hi ? Which one are you again ?,,,,edgy-witch_[worried]_kitchen_night_q1-answer__%°@turn#,edgy-witch_[displeased]_kitchen_night_q2-answer__%°@turn#,edgy-witch_[worried]_kitchen_night_q3-answer__%°@turn#,,,,
edgy-witch_[worried]_kitchen_night_q1-answer__%°@turn#,edgy-witch,worried,FALSE,"Her eyes are wide as saucers. Her skin goes pale. Well, pale-er.",turn,kitchen,night,,q1-answer,,,,,,,,edgy-witch_[neutral]_kitchen_night_vanished-a__%°@vanish-turn#,,,,,,
edgy-witch_[displeased]_kitchen_night_q2-answer__%°@turn#,edgy-witch,displeased,FALSE,"""Umm... yes? No? Is that a trick question?""",turn,kitchen,night,,q2-answer,,,,,,,,edgy-witch_[neutral]_kitchen_night_vanished-b__%°@vanish-turn#,,,,,,
edgy-witch_[worried]_kitchen_night_q3-answer__%°@turn#,edgy-witch,worried,FALSE,"""No-one! None of us! ...of them! Je ne parle pas anglais!""",turn,kitchen,night,,q3-answer,,,,,,,,edgy-witch_[neutral]_kitchen_night_vanished-b__%°@vanish-turn#,,,,,,
edgy-witch_[neutral]_kitchen_night_vanished-a__%°@vanish-turn#,edgy-witch,,FALSE,"She scampers off without saying a word, still carrying the spoils of her nighttime raid on the kitchen.",vanish-turn,kitchen,night,,vanished-a,,,,,,,,edgy-witch_[neutral]_kitchen_night_vanished-2__%°c@#,,,,,,
edgy-witch_[neutral]_kitchen_night_vanished-b__%°@vanish-turn#,edgy-witch,,FALSE,"She scampers off before you can respond, still carrying the spoils of her nighttime raid on the kitchen.",vanish-turn,kitchen,night,,vanished-b,,,,,,,,edgy-witch_[neutral]_kitchen_night_vanished-2__%°c@#,,,,,,
edgy-witch_[neutral]_kitchen_night_vanished-2__%°c@#,edgy-witch,,TRUE,"Various cookies and biscuits, abandoned in her flight, form a trail of all-too-literal breadcrumbs behind her leading into the garden. Still, she's nowhere to be seen.",,kitchen,night,,vanished-2,,,,,,,,edgy-witch_[neutral]_kitchen_night_vanished-3__%°c@#,,,,,,
edgy-witch_[neutral]_kitchen_night_vanished-3__%°c@#,edgy-witch,,TRUE,"But when you close your eyes, you swear you can hear someone, somewhere in the distance. ",,kitchen,night,,vanished-3,,,,,,,,edgy-witch_[neutral]_kitchen_night_vanished-4__%°c@#,,,,,,
edgy-witch_[neutral]_kitchen_night_vanished-4__%°c@#,edgy-witch,,TRUE,Munching.,,kitchen,night,,vanished-4,,,,,,,,,,,,,,
